date,Open,High,Low,Close,Volume,aVWAP_peak_858,aVWAP_peak_857,aVWAP_peak_856,aVWAP_peak_855,aVWAP_peak_854,aVWAP_peak_853,aVWAP_peak_852,aVWAP_peak_851,aVWAP_peak_850,aVWAP_peak_849,aVWAP_peak_848,aVWAP_peak_835,aVWAP_peak_834,aVWAP_peak_833,aVWAP_peak_832,aVWAP_peak_831,aVWAP_peak_830,aVWAP_peak_829,aVWAP_peak_828,aVWAP_peak_827,aVWAP_peak_795,aVWAP_valley_852,aVWAP_valley_851,aVWAP_valley_850,aVWAP_valley_849,aVWAP_valley_848,aVWAP_valley_847,aVWAP_valley_846,aVWAP_valley_845,aVWAP_valley_844,aVWAP_valley_843,aVWAP_valley_842,aVWAP_valley_841,aVWAP_valley_840,aVWAP_valley_839,aVWAP_valley_838,aVWAP_valley_837,aVWAP_valley_836,aVWAP_valley_835,aVWAP_valley_822,aVWAP_valley_821,aVWAP_valley_820,aVWAP_valley_819,aVWAP_valley_806,aVWAP_valley_805,aVWAP_valley_804,aVWAP_valley_803,aVWAP_valley_802,aVWAP_valley_801,aVWAP_valley_800,aVWAP_valley_778,aVWAP_valley_777,aVWAP_valley_776,aVWAP_valley_775,aVWAP_valley_774,aVWAP_valley_749,aVWAP_valley_731,aVWAP_valley_730,aVWAP_valley_729,aVWAP_valley_728,aVWAP_valley_727,aVWAP_valley_726,aVWAP_valley_713,aVWAP_valley_712,aVWAP_valley_711,aVWAP_valley_710,aVWAP_valley_709,aVWAP_valley_708,aVWAP_valley_707,aVWAP_valley_706,aVWAP_valley_705,aVWAP_valley_704,aVWAP_valley_685,aVWAP_valley_684,aVWAP_valley_683,aVWAP_valley_663,aVWAP_valley_662,aVWAP_valley_658,aVWAP_valley_657,aVWAP_valley_656,aVWAP_valley_655,aVWAP_valley_654,aVWAP_valley_639,aVWAP_valley_638,aVWAP_valley_621,aVWAP_valley_620,aVWAP_valley_619,aVWAP_valley_592,aVWAP_valley_591,aVWAP_valley_590,aVWAP_valley_589,aVWAP_valley_588,aVWAP_valley_587,aVWAP_valley_586,aVWAP_valley_585,aVWAP_valley_584,aVWAP_valley_583,aVWAP_valley_582,aVWAP_valley_581,aVWAP_valley_580,aVWAP_valley_579,aVWAP_valley_566,aVWAP_valley_565,aVWAP_valley_564,aVWAP_valley_563,aVWAP_valley_536,aVWAP_valley_535,aVWAP_valley_534,aVWAP_valley_533,aVWAP_valley_532,aVWAP_valley_531,aVWAP_valley_530,aVWAP_valley_529,aVWAP_valley_516,aVWAP_valley_515,aVWAP_valley_514,aVWAP_valley_513,aVWAP_valley_512,aVWAP_valley_511,aVWAP_valley_510,aVWAP_valley_509,aVWAP_valley_508,aVWAP_valley_507,aVWAP_valley_506,aVWAP_valley_505,aVWAP_valley_487,aVWAP_valley_486,aVWAP_valley_485,aVWAP_valley_484,aVWAP_valley_483,aVWAP_valley_482,aVWAP_valley_481,aVWAP_valley_465,aVWAP_valley_464,aVWAP_valley_463,aVWAP_valley_462,aVWAP_valley_445,aVWAP_valley_431,aVWAP_valley_430,aVWAP_valley_429,aVWAP_valley_428,aVWAP_valley_427,aVWAP_valley_426,aVWAP_valley_413,aVWAP_valley_412,aVWAP_valley_411,aVWAP_valley_410,aVWAP_valley_409,aVWAP_valley_408,aVWAP_valley_407,aVWAP_valley_406,aVWAP_valley_405,aVWAP_valley_404,aVWAP_valley_403,aVWAP_valley_402,aVWAP_valley_401,aVWAP_valley_400,aVWAP_valley_399,aVWAP_valley_398,aVWAP_valley_397,aVWAP_valley_396,aVWAP_valley_383,aVWAP_valley_382,aVWAP_valley_381,aVWAP_valley_380,aVWAP_valley_379,aVWAP_valley_378,aVWAP_valley_365,aVWAP_valley_364,aVWAP_valley_363,aVWAP_valley_362,aVWAP_valley_361,aVWAP_valley_360,aVWAP_valley_359,aVWAP_valley_358,aVWAP_valley_344,aVWAP_valley_343,aVWAP_valley_342,aVWAP_valley_341,aVWAP_valley_340,aVWAP_valley_339,aVWAP_valley_338,aVWAP_valley_337,aVWAP_valley_336,aVWAP_valley_335,aVWAP_valley_334,aVWAP_valley_333,aVWAP_valley_332,aVWAP_valley_331,aVWAP_valley_330,aVWAP_valley_329,aVWAP_valley_328,aVWAP_valley_327,aVWAP_valley_326,aVWAP_valley_325,aVWAP_valley_324,aVWAP_valley_323,aVWAP_valley_322,aVWAP_valley_321,aVWAP_valley_320,aVWAP_valley_319,aVWAP_valley_318,aVWAP_valley_317,aVWAP_valley_316,aVWAP_valley_315,aVWAP_valley_314,aVWAP_valley_313,aVWAP_valley_312,aVWAP_valley_311,aVWAP_valley_310,aVWAP_valley_309,aVWAP_valley_308,aVWAP_valley_307,aVWAP_valley_306,aVWAP_valley_305,aVWAP_valley_304,aVWAP_valley_303,aVWAP_valley_290,aVWAP_OB_bull_870,aVWAP_OB_bull_749,aVWAP_OB_bull_713,aVWAP_OB_bull_566,aVWAP_OB_bull_536,aVWAP_OB_bull_431,aVWAP_OB_bull_343,aVWAP_OB_bear_864,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-08 18:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 0.5)",0.036616837558586565,10.1195,0.013654920340918022,65.4432635600324,13.851782144911034,False,False,True,False,True,18.275261103170546,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34277296530723067,False,False,False,False,1041.0,637.7068153002388,False,False,False,False,10.58710669577483,False,False,False,False
2025-05-08 19:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 0.5)",0.03537036984627438,10.1195,0.014136125863877573,65.44415391278099,14.112017309135524,False,False,True,False,True,18.275261103170546,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.342800239532966,False,False,False,False,1041.0,643.9594228149637,False,False,False,False,10.42296550669305,False,False,False,False
2025-05-09 14:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 0.5)",0.034025427693549326,10.1195,0.014694892434625493,65.44474748128005,14.331817664275064,False,False,True,False,True,18.275261103170546,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34281387664583374,False,False,False,False,1041.0,650.1150906782975,False,False,False,False,10.261369142248196,False,False,False,False
2025-05-09 15:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 0.5)",0.03256981413505559,10.1195,0.015351638112686496,65.44514319361275,14.516983341504613,False,False,True,False,True,18.275261103170546,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282069520226754,False,False,False,False,1041.0,656.1753218305719,False,False,False,False,10.102278147794735,False,False,False,False
2025-05-09 16:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 0.5)",0.030987937205493005,10.1195,0.016135310868972696,65.44540700183455,14.672599940522531,False,False,True,False,True,18.275261103170536,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.3428241044804845,False,False,False,False,1041.0,662.141595910718,False,False,False,False,9.945653680387064,False,False,False,False
2025-05-09 17:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 0.5)",0.029259325147847907,10.1195,0.01708856911334508,65.44558287398243,14.803096294017621,False,False,True,False,True,18.275261103170546,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282580911959293,False,False,False,False,1041.0,668.0153696175286,False,False,False,False,9.791457499295792,False,False,False,False
2025-05-09 18:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 1.0)",0.027356175908920262,10.1195,0.0182774084237335,65.445700122081,14.91230638856716,True,False,True,False,True,18.275261103170546,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.3428266614391472,False,False,False,False,1041.0,673.7980770653188,False,False,False,False,9.63965195667105,False,False,False,False
2025-05-09 19:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 1.0)",0.025239037402573227,10.1195,0.01981058120496535,65.44577828748007,15.003531908495475,True,False,True,False,True,18.275261103170557,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282708759892433,False,False,False,False,1041.0,679.4911301340735,False,False,False,False,9.490199988350568,False,False,False,False
2025-05-12 14:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 1.0)",0.022848502227795765,10.1195,0.02188327247947887,65.44583039774611,15.079602969793015,True,False,True,False,True,18.275261103170557,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282730067881284,False,False,False,False,1041.0,685.0959188141653,False,False,False,False,9.343065104810249,False,False,False,False
2025-05-12 15:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 1.0)",0.020087197303135216,10.1195,0.024891476518767233,65.44586513792345,15.142935461730914,True,False,True,False,True,18.275261103170557,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282740721875715,False,False,False,False,1041.0,690.6138115457286,False,False,False,False,9.198211382255051,False,False,False,False
2025-05-12 16:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 1.0)",0.01677299416720145,10.1195,0.02980982375684323,65.4458882980417,15.195584054011789,True,False,True,False,True,18.275261103170557,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282746048872925,False,False,False,False,1041.0,696.0461555527716,False,False,False,False,9.055603453847995,False,False,False,False
2025-05-12 17:00:00+00:00,10.12,10.12,10.12,10.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.12,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.114999999999998,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.113333333333332,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.112222222222222,10.106564260112647,,,,,,,10.112222222222222,,,10.1138,"rgba(38, 166, 154, 1.0)",0.01247267283172525,10.1195,0.040087638531417606,65.4459037381205,15.23929039642799,True,False,True,False,True,18.275261103170557,0.0,0.0,0.0,0.0,0,1.0,1.0,False,False,False,False,0.3428275137587014,0.34282748712371536,False,False,False,False,1041.0,701.3942771721083,False,False,False,False,8.915206501075158,False,False,False,False
